target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
P1_PCV01D,sensor,sensors_delta_discrete_persistence,(P1_PIT01 - P1_B2016) * -0.3987163,(-P1_B2016 + P1_PIT01)*(-0.3987163),5.0,0.0030943654,0.2954328108980698,0.43940358389022227,0.03458713189611758,0.051809196753634344,7.048452515892273,0.18306271363340196,0.02597204325639524,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_PCV01D_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_PCV01Z,sensor,sensors_delta_discrete_persistence,(P1_B2016 - P1_PIT01) * 0.4642433,(P1_B2016 - P1_PIT01)*0.4642433,5.0,0.033794846,0.0470207340841226,0.08831292539286983,0.07537619143561829,0.04577138245933586,23.31021887224997,0.8751246355052698,0.037542531895617515,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_PCV01Z_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_PIT01,sensor,sensors_delta_discrete_persistence,(P4_ST_PT01 * -7.701376e-5) - -0.7739913,P4_ST_PT01*(-7.701376e-5) - 1*(-0.7739913),5.0,8.427708e-05,0.0113112653969742,0.02079208454617787,0.0018569167759874207,0.0015331748581957072,17.984022376175545,0.017768007307343847,0.0009879885008863276,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_PIT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_TIT01,sensor,sensors_delta_discrete_persistence,P1_B4005 * ((P2_SIT01 * (P1_TIT02 * 4.9124256e-9)) + -0.0001392626),P1_B4005*(P2_SIT01*P1_TIT02*4.9124256e-9 - 0.0001392626),9.0,0.00019410216,0.0001529115443752,0.0009443983690856639,0.009807761098117998,0.00973317227843735,2.0697042421485343,0.03085569235244634,0.014908261636655595,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_TIT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P1_TIT02,sensor,sensors_delta_discrete_persistence,0.031750508 - (P1_TIT01 * 0.00088846014),0.031750508 - 0.00088846014*P1_TIT01,5.0,0.00018737366,0.0004061354466483,0.0012611603533122517,0.00979048259794219,0.009616643314560254,2.143794533657645,0.031161195511579365,0.014535532683915164,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P1_TIT02_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_24Vdc,sensor,sensors_delta_discrete_persistence,(28.028824 - P2_24Vdc) * 0.94066143,(28.028824 - P2_24Vdc)*0.94066143,5.0,1.11002055e-05,0.0017472938823578,0.4592471296904964,0.0027250569375779007,0.003659061073429055,3.7937314149391836,0.008528023248196395,0.0022479248832993903,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_24Vdc_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_CO_rpm,sensor,sensors_delta_discrete_persistence,(P2_CO_rpm * -0.41013741) + 22189.62,22189.62 + P2_CO_rpm*(-0.41013741),5.0,337.47546,0.1108760412827788,0.21006355789794473,14.296418164140025,15.976850043402777,4.134059779783193,49.1631983337951,11.89223208000476,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_CO_rpm_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_HILout,sensor,sensors_delta_discrete_persistence,503.9066 - (P2_HILout * 0.70823306),503.9066 - 0.70823306*P2_HILout,5.0,66.43336,0.044266179544334,0.3534111245706024,6.477853590122573,7.904701895183987,3.704494099044033,20.564062716606426,5.551112288696345,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_HILout_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_SIT01,sensor,sensors_delta_discrete_persistence,(P2_SIT01 * -0.14963505) + 117.27317,117.27317 + P2_SIT01*(-0.14963505),5.0,7.2777057,0.0349353672225771,0.08247085045027414,2.1358891950465217,2.185921223958333,4.761715591859735,7.904546449999998,1.6600207000000182,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_SIT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P2_SIT02,sensor,sensors_delta_discrete_persistence,123.031296 - (P2_SIT02 * 0.15698908),123.031296 - 0.15698908*P2_SIT02,5.0,7.741555,0.038149081957351,0.08165993068037625,2.1118453588898016,2.1827596889601812,4.715722100423671,7.8462918418625405,1.6638579786450123,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P2_SIT02_sensors_delta_discrete_persistence/pareto_front_scored.csv
