S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen
0.1,3.5,45.04121433831389,73.50649350649351,55.85636010133742,22.984990227544305,74.6709163848548,35.15015820189519,8130.0,100.0
0.1,4.0,45.63375410686495,76.72998643147896,57.230635775472585,21.00750800360004,74.82706311745851,32.80507459756308,8111.0,100.0
0.1,4.5,45.56624110623373,79.07540220973057,57.81645278098626,18.17697824369096,75.00616467943514,29.26249063407433,7998.0,100.0
0.1,5.0,45.65982308257242,80.74239193642178,58.332574797470926,15.879624649430523,75.1330954178661,26.21799135556812,7905.0,100.0
0.1,5.98,45.28681757656458,82.40550494281837,58.451173821881554,11.140306651315898,75.31184266954291,19.409512161473483,7810.0,100.0
0.1,6.0,45.1775679092348,82.43264198488079,58.36690158725801,11.311775953266432,75.3574659613661,19.670802525317992,7629.0,100.0
0.1,7.0,44.528372557587865,82.95793758480326,57.95103720955424,7.942144994614073,75.54836311873115,14.373275898145115,7341.0,100.0
0.1,8.0,43.90368695189464,83.16340376041869,57.46853924306657,6.832049100376107,75.74672347574005,12.53361651753451,7118.0,100.0
0.1,9.0,43.38118022328549,83.30296569102539,57.051826677994896,5.850620287745576,75.91127104210507,10.86393710330782,7043.0,100.0
0.1,10.0,42.8762195182716,83.39794533824386,56.63531595332276,5.83566409647551,76.06366326440317,10.839698030792675,7011.0,100.0
0.1,12.0,41.90799191479437,83.59178135297537,55.82741077323391,5.844539397740988,76.39234634929635,10.858341092772283,6932.0,100.0
0.1,15.0,40.50212104469645,83.83601473153712,54.61777909671227,5.8257913290373455,80.20121889090561,10.862531765274545,6816.0,100.0
0.1,20.0,38.80167615235474,84.17910447761194,53.118712273641854,5.944597205794024,80.7020014303494,11.07350778348322,6520.0,100.0
0.1,25.0,37.40016642503581,84.50668734250823,51.85211615197522,5.857679983937292,81.15583168137816,10.926691308547348,6428.0,100.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.1,42.747701736465785,24.336111649544485,31.0153162055336,29.766864216487964,54.24349231210898,38.43951476942085,4994.0,100.0
0.2,0.5,46.13153654606709,30.52335723977515,36.73840769903762,34.83452709013013,56.36577372677242,43.058521830610005,4945.0,100.0
0.2,1.0,50.25599568849367,39.76545842217484,44.39947625282705,37.33645225943595,57.17558084044613,45.17378950464036,4743.0,100.0
0.2,1.5,50.81159243192603,48.3601473153712,49.55557100435987,38.0172607260728,61.37528482028014,46.95161377190799,4120.0,100.0
0.2,2.0,53.1865007569324,55.84221748400853,54.48201520481108,38.996616899095,61.924608801658735,47.85614184324313,3955.0,100.0
0.2,2.5,53.37973320076228,62.43845706532274,57.55483092866396,38.404192273493855,64.28795413475719,48.08404610895147,3560.0,100.0
0.2,3.0,54.54941092355995,68.02868773018027,60.54792629908219,36.99856792446386,64.73456788424801,47.08566757304388,3373.0,100.0
0.2,3.5,54.55381919088652,72.40356658267106,62.22388805597201,34.57545672800055,64.98249869504966,45.13551051065177,3244.0,100.0
0.2,4.0,54.97324697268376,75.67745687148673,63.684854416442384,31.93915683918102,65.12919691109403,42.8599343572867,3208.0,100.0
0.2,4.5,54.46357329294186,78.06163985268462,64.16161487417651,28.093305756347718,65.30850978232678,39.28685803857061,3030.0,100.0
0.2,5.0,54.451121052492255,79.74413646055437,64.71402504247152,24.982107142554906,65.42250835636038,36.15727149047824,2943.0,100.0
0.2,5.98,53.63373020430561,81.46733863151773,64.68338553169222,17.68123558543063,65.61682698503029,27.856267972844467,2895.0,100.0
0.2,6.0,53.62919685682213,81.49059895328551,64.68741825791263,17.591041585657557,65.6314150418179,27.74551480723796,2895.0,100.0
0.2,7.0,52.57744764365388,82.04690831556503,64.08672480620154,12.26753735920158,65.79293550046809,20.679282731850662,2630.0,100.0
0.2,8.0,51.616355719880325,82.26400465206434,63.43227812154366,10.543476837369566,69.39653795610701,18.30574568754171,2405.0,100.0
0.2,9.0,50.64973736555618,82.42682690443884,62.74428795915807,8.860003979320041,71.31051659194007,15.7616903637383,2339.0,100.0
0.2,10.0,49.91382645703633,82.52180655165729,62.20348765003689,8.78736440286736,71.44995650580246,15.649994224013737,2326.0,100.0
0.2,12.0,48.52068989024473,82.77767009110293,61.18019540987364,8.618447114699485,71.8649551155974,15.391106685370143,2279.0,100.0
0.2,15.0,46.68025150105155,83.03547199069587,59.763251696789176,8.592456000311152,72.22955095744223,15.3579269282057,2217.0,100.0
0.2,20.0,44.28312719939086,83.42120566001164,57.85476152067538,8.810741839198382,77.92546503082056,15.83147753082948,1977.0,100.0
0.2,25.0,42.28661996634446,83.77980228726497,56.20473075772748,8.976662705830984,78.44920792101075,16.109924304953015,1801.0,100.0
0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3,0.1,46.35818658673661,23.98333010273309,31.612161471640267,33.38715306285086,50.46089649806691,40.185685508298526,4122.0,100.0
0.3,0.5,50.18869141695965,30.160883892227176,37.678737907570856,38.97257635564516,56.01344242794135,45.96441012943468,4085.0,100.0
0.3,1.0,54.71113982663005,39.393293273890286,45.80553552109629,41.843360527684936,56.82592843551471,48.19712062046988,3923.0,100.0
0.3,1.5,54.7969458891225,47.99379724752859,51.17024024799793,42.337791958026045,59.3131486109424,49.40805726360716,3305.0,100.0
0.3,2.0,56.90155399228966,55.50300445822833,56.1935787738441,43.29347826433344,59.87800083111439,50.25278207159036,3138.0,100.0
0.3,2.5,57.01217341781163,62.093428959100606,59.444413516673166,41.68599620063388,62.21952071004824,49.92386893477232,2982.0,100.0
0.3,3.0,58.03326631328824,67.69722814498934,62.49384903060723,40.69212173635306,62.658945850626914,49.34105688418599,2731.0,100.0
0.3,3.5,57.94666375722814,72.06435355689086,64.23899990496679,38.12552649788832,62.89683187987761,47.4741407541179,2617.0,100.0
0.3,4.0,58.27985365561087,75.34018220585385,65.72090427960299,35.95181324886592,64.75641658252052,46.23476352505541,2458.0,100.0
0.3,4.5,57.90218474289922,77.72630354719907,66.36544938473887,31.583609650588173,64.94407684354604,42.49906833246243,2384.0,100.0
0.3,5.0,57.92204487297301,79.41461523551075,66.98658469789002,28.36049671516388,65.0538387773383,39.50055783679128,2303.0,100.0
0.3,5.98,57.06049123572227,81.14557084706338,67.0043855437114,20.48201408408481,65.26258614716876,31.17885452903152,2195.0,100.0
0.3,6.0,57.0478850214563,81.17076952897848,67.00428017120686,20.401454678084797,65.2771742039564,31.08708270457875,2188.0,100.0
0.3,7.0,55.69568432729386,81.75033921302578,66.25351493158647,14.109995608406145,65.48679549790488,23.21747859533413,1981.0,100.0
0.3,8.0,54.69491766592935,81.95968210893584,65.60742298113999,11.882945157515229,65.64531610185949,20.12323450609626,1890.0,100.0
0.3,9.0,53.80951776166224,82.12444272145764,65.01799320171568,9.947584020282571,67.55266106304559,17.341513462203864,1846.0,100.0
0.3,10.0,52.95219073773561,82.22523744911805,64.41913439635535,9.806895751270964,67.69994274298543,17.132069730767597,1833.0,100.0
0.3,12.0,51.33726611414715,82.48691606900562,63.28680948521375,9.63193686931969,68.1110460589484,16.877183535610744,1790.0,100.0
0.3,15.0,49.22289351104552,82.75247140918782,61.72843076300227,9.590008617218256,70.19714260695471,16.87467699187232,1732.0,100.0
0.3,20.0,46.44144485457281,83.16340376041869,59.6000639008703,9.655795777576834,74.18970959709547,17.087634726898106,1501.0,100.0
0.3,25.0,44.30632242409287,83.52587710796666,57.89972253387708,9.959697269372294,76.44051601869506,17.623206464143117,1270.0,100.0
0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.1,49.79780237735387,23.63054855592169,32.05163597165806,37.79679339358337,50.04347789974728,43.066419696195,3158.0,100.0
0.4,0.5,53.66543321929763,29.7984105446792,38.319457600079765,43.69592668149905,52.15342165342752,47.5515405862612,3129.0,100.0
0.4,1.0,58.17220150871413,39.01337468501648,46.704335820116256,46.670264626013335,54.669176995847856,50.35403622615146,2995.0,100.0
0.4,1.5,58.65421364418116,47.59643341732894,52.549917606523,47.26103273384612,57.13246397759111,51.73002792834688,2575.0,100.0
