dataset,S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen,num_monitored,num_sensors,num_actuators
BATADAL,0.2,1.0,15.750568612585292,92.43604004449388,26.91497975708502,11.474426926621218,96.62736566877905,20.512955795804075,607.0,100.0,42,30,12
BATADAL,0.2,1.5,15.68262246228348,93.65962180200222,26.86662412252712,11.233847607653557,97.13498140663795,20.138624518135686,557.0,100.0,42,30,12
BATADAL,0.2,2.0,15.741935483870966,94.9944382647386,27.008222643896268,10.83693293459021,97.78891131664686,19.51159746540747,527.0,100.0,42,30,12
BATADAL,0.2,2.16,15.75165806927045,95.10567296996662,27.027027027027028,10.715817656686905,97.83355417378972,19.315939089342354,525.0,100.0,42,30,12
BATADAL,0.2,2.5,15.761369913459768,95.21690767519466,27.045813586097943,10.61097638505553,97.88849922873479,19.146499055569873,525.0,100.0,42,30,12
BATADAL,0.2,3.0,15.891971339334926,96.21802002224695,27.278461053295487,9.997419284728903,98.30626895900451,18.149132407914365,523.0,100.0,42,30,12
BATADAL,0.2,3.5,15.889052167523879,96.21802002224695,27.27416049188081,9.866964871968534,98.30626895900451,17.933909677294945,522.0,100.0,42,30,12
BATADAL,0.2,4.0,15.929528353826392,96.55172413793103,27.347195967233773,9.668545810041472,98.41244469815898,17.607263319262962,520.0,100.0,42,30,12
BATADAL,0.2,4.5,15.929528353826392,96.55172413793103,27.347195967233773,9.668545810041472,98.41244469815898,17.607263319262962,520.0,100.0,42,30,12
BATADAL,0.2,5.0,15.93618191821016,96.66295884315906,27.361460957178842,9.393945894639137,98.44815898387326,17.151309870354865,518.0,100.0,42,30,12
BATADAL,0.2,6.0,15.95238095238095,96.88542825361512,27.39424437804686,9.16345560851668,98.53557157128584,16.76758573586498,516.0,100.0,42,30,12
BATADAL,0.2,7.0,15.937785910338517,96.88542825361512,27.37272155876807,9.250569415506927,98.53557157128584,16.913308823785048,511.0,100.0,42,30,12
BATADAL,0.2,8.0,15.968538503749771,97.10789766407119,27.426955702167767,9.03249167184694,98.69926204747632,16.550371300627308,511.0,100.0,42,30,12
BATADAL,0.2,9.0,15.959780621572211,97.10789766407119,27.41403674046161,8.603426303859598,98.69926204747632,15.827223722306993,509.0,100.0,42,30,12
BATADAL,0.2,10.0,15.966386554621847,97.21913236929922,27.428212772634552,8.310099409493995,98.81830966652394,15.330946924158315,507.0,100.0,42,30,12
BATADAL,0.2,12.0,15.955506929248722,97.33036707452726,27.416575278082405,8.007005541138245,98.86295252366682,14.814195177100567,501.0,100.0,42,30,12
BATADAL,0.2,15.0,15.938864628820962,97.44160177975529,27.396403440187644,8.104448827669824,98.90759538080965,14.981333201522512,494.0,100.0,42,30,12
BATADAL,0.2,20.0,15.91156216020297,97.66407119021135,27.36481221754714,8.396182078997175,99.0266429998573,15.479870775849069,480.0,100.0,42,30,12
BATADAL,0.2,25.0,15.84551524995488,97.66407119021135,27.267080745341616,8.057314640349079,99.0266429998573,14.902116769128297,465.0,100.0,42,30,12
BATADAL,0.3,0.1,16.625643320653392,82.64738598442715,27.68256333830104,11.805235381283007,92.23856956113795,20.931530243529412,1027.0,100.0,42,30,12
BATADAL,0.3,0.5,16.49484536082474,85.42825361512793,27.65076507650765,11.476137947511422,93.56753409963898,20.444714237597246,935.0,100.0,42,30,12
BATADAL,0.3,1.0,16.326113608500204,88.87652947719688,27.585016399102365,11.027539884252825,94.97055768446344,19.760573759660502,822.0,100.0,42,30,12
BATADAL,0.3,1.5,16.217833632555354,90.43381535038932,27.50338294993234,10.851378625990394,95.6451106517596,19.491371339014304,758.0,100.0,42,30,12
BATADAL,0.3,2.0,16.36219221604448,91.65739710789767,27.767481044650378,10.442283078511558,96.21232452957376,18.839811066976683,750.0,100.0,42,30,12
BATADAL,0.3,2.16,16.290480863591757,92.32480533926585,27.69436102769436,10.38057117529653,96.54171455444252,18.74554275524273,716.0,100.0,42,30,12
BATADAL,0.3,2.5,16.333333333333332,92.65850945494995,27.771295215869312,10.17875372566589,96.67929638750307,18.418354953264835,715.0,100.0,42,30,12
BATADAL,0.3,3.0,16.536356528537922,94.10456062291435,28.129675810473813,9.634568893802756,97.26711548330088,17.532496904717554,713.0,100.0,42,30,12
BATADAL,0.3,3.5,16.5625,94.3270300333704,28.177438112643294,9.196444350527633,97.34975226141638,16.80532215467945,711.0,100.0,42,30,12
BATADAL,0.3,4.0,16.617905207723815,94.77196885428253,28.277464321274476,8.944211536541363,97.49164228628516,16.385190522450564,709.0,100.0,42,30,12
BATADAL,0.3,4.5,16.634165366614663,94.88320355951056,28.305956528953047,8.858642049072929,97.536285143428,16.242109650935294,709.0,100.0,42,30,12
BATADAL,0.3,5.0,16.63744398986947,94.9944382647386,28.315649867374006,8.633802885411257,97.57199942914228,15.863867921484296,706.0,100.0,42,30,12
BATADAL,0.3,6.0,16.67315175097276,95.32814238042269,28.38218248054314,8.34237347251483,97.71893582607866,15.372389109450083,704.0,100.0,42,30,12
BATADAL,0.3,7.0,16.686091686091686,95.55061179087876,28.410782206052588,8.41356023888883,97.87369773084059,15.495107643020525,698.0,100.0,42,30,12
BATADAL,0.3,8.0,16.71195652173913,95.77308120133482,28.458106098165594,8.243791107168498,98.03738820703106,15.208708715620542,696.0,100.0,42,30,12
BATADAL,0.3,9.0,16.702230843840933,95.77308120133482,28.44400396432111,8.288842119595238,98.03738820703106,15.285342669805017,694.0,100.0,42,30,12
BATADAL,0.3,10.0,16.705426356589147,95.88431590656285,28.453540188149862,8.025845092712066,98.15643582607868,14.838414507131354,692.0,100.0,42,30,12
