variant,target,variable_type,source,S,G,complexity,equation,holdout_r2,residual_tail_ratio,delta,threshold,growth_cap,max_train_cusum,max_test_cusum,total_alarm_rate,benign_alarm_rate,attack_alarm_rate,num_alarm_intervals,longest_alarm_interval
geco_matched_plus_actuator_persistence,F_PU4,sensor,selected_sensor_delta,1.39,2.16,7.0,((S_PU4 + L_T3) * -13.3848715) - -61.893787,0.5446333617168739,2.688539718614763,13.248216087853752,11.681956825820654,40.29810357558476,8.40428548620191,8.713501247502595,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,F_PU5,sensor,selected_sensor_delta,1.39,2.16,7.0,(S_PU11 - (P_J307 * 0.09781639)) * S_PU5,-inf,0.0,1e-06,1e-06,3.1600000000000002e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,F_PU6,sensor,selected_sensor_delta,1.39,2.16,3.0,S_PU6 * -15.802054,0.2495838490947454,0.0,1.3526648265693488,115.96609787415233,118.88785389954212,83.4288473914765,118.88785389954212,0.022988505747126436,0.0,0.1951219512195122,3,78
geco_matched_plus_actuator_persistence,F_PU7,sensor,selected_sensor_delta,1.39,2.16,3.0,41.705242 - F_PU7,0.37764841100804347,5.1720897103496215,25.213597292822932,87.95405676570341,142.41542691820095,63.276299831441314,142.41542691820095,0.01867816091954023,0.0,0.15853658536585366,2,77
geco_matched_plus_actuator_persistence,F_PU8,sensor,selected_sensor_delta,1.39,2.16,5.0,P_J302 + (L_T5 * -9.125825),0.4162477871935484,4.905129671049373,16.78591692331516,27.74767716201577,64.00525771637652,19.962357670514944,57.25580288303328,0.003352490421455939,0.0,0.028455284552845527,4,6
geco_matched_plus_actuator_persistence,F_PU9,sensor,selected_sensor_delta,1.39,2.16,3.0,S_PU3 * -0.513481,-inf,0.0,1e-06,1e-06,3.1600000000000002e-06,0.0,0.0,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,F_PU10,sensor,selected_sensor_delta,1.39,2.16,3.0,67.91816 - P_J317,0.42073536588669425,10.887175664537754,15.293157883316429,39.59384245736617,72.62706348532966,28.4847787463066,72.62706348532966,0.004310344827586207,0.0002714440825190011,0.034552845528455285,1,18
geco_matched_plus_actuator_persistence,F_PU11,sensor,selected_sensor_delta,1.39,2.16,3.0,S_PU11 * -11.974697,-inf,0.0,0.418746930912535,57.85973632409571,58.764229694866785,41.62570958568037,58.764229694866785,0.011494252873563218,0.0010857763300760044,0.08943089430894309,2,40
geco_matched_plus_actuator_persistence,F_V2,sensor,selected_sensor_delta,1.39,2.16,5.0,L_T1 * (27.468645 - P_J300),0.21971716105443273,13.092701887049648,29.37579567072853,91.65913074732745,155.1108493961011,65.94182068153054,77.22726605495589,0.0,0.0,0.0,0,0
geco_matched_plus_actuator_persistence,P_J269,sensor,selected_sensor_delta,1.39,2.16,3.0,S_V2 - S_PU2,0.07579739196654967,21.918450899227214,3.4070213468145347,17.042255579087463,24.40142168820686,12.260615524523356,24.40142168820686,0.0009578544061302681,0.0,0.008130081300813009,1,4
geco_matched_plus_actuator_persistence,P_J300,sensor,selected_sensor_delta,1.39,2.16,5.0,L_T3 + (S_PU7 - 5.046974),0.272826500179711,7.331988220433037,2.1099545423828,7.536326350774098,12.093828162320946,5.421817518542516,6.397111870120275,0.0,0.0,0.0,0,0
