variant,S,G,num_monitored,monitored_sensors,monitored_actuators,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN,system_total_alarm_rate,system_benign_alarm_rate,system_attack_alarm_rate,system_num_alarm_intervals,system_longest_alarm_interval,threshold_min,threshold_max,growth_cap_min,growth_cap_max,max_test_cusum_max
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,4.5,39,14,25,12.880769742384604,95.7259158751696,22.706216910234925,5.030608732162567,96.29736855076484,9.561710321387737,41108.0,100.0,49385,334016,64312,2205,0.8521575042563312,0.8385451185957301,0.9572591587516961,42781,1240,1e-06,1e-06,5.5e-06,2.049359365500243,2.049359365500243
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,5.0,39,14,25,12.9202110336742,96.12521806551658,22.778728339630007,4.559632997431199,96.33147015117044,8.707133459436717,40963.0,100.0,49591,334234,64094,1999,0.8530998982036727,0.8390924062581591,0.9612521806551657,42512,1287,1e-06,1e-06,5.999999999999999e-06,2.277065850555825,2.277065850555825
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,5.98,39,14,25,12.957572068169815,96.54584221748401,22.84859730769319,3.8129413942625083,96.3532148345269,7.335594678779185,40731.0,100.0,49808,334585,63743,1782,0.8543623504727528,0.839973589604547,0.9654584221748401,42136,2085,1e-06,1e-06,6.98e-06,2.723370561264767,2.723370561264767
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,6.0,39,14,25,12.95811654526535,96.55165729792596,22.849606642354185,3.8126576584355636,96.37392615175968,7.335129588052054,40727.0,100.0,49811,334589,63739,1779,0.8543779088633929,0.8399836315800044,0.9655165729792595,42131,2085,1e-06,1e-06,7e-06,2.7324788206669903,2.7324788206669903
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,7.0,39,14,25,12.967188913262707,96.70672610971118,22.868051831378427,3.187197798370786,96.41088933519619,6.170411160929732,40556.0,100.0,49891,334857,63471,1699,0.8551513831409279,0.840656443935651,0.9670672610971118,41894,13661,1e-06,1e-06,8e-06,3.1878917907781554,3.1878917907781554
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,8.0,39,14,25,12.964516606622908,96.74937003295211,22.86508759995144,3.044888719715096,96.43508751054561,5.903381188309496,40412.0,100.0,49913,335084,63244,1677,0.8557048173222677,0.8412263260428592,0.9674937003295212,41729,18593,1e-06,1e-06,9e-06,3.6433047608893205,3.6433047608893205
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,9.0,39,14,25,12.96237166257804,96.78813723589843,22.862833529835967,2.9263926801895592,96.49591087743875,5.680514676393141,40286.0,100.0,49933,335282,63046,1657,0.8561893500593442,0.841723403828001,0.9678813723589843,41579,32224,1e-06,1e-06,1e-05,4.098717731000486,4.098717731000486
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,10.0,39,14,25,12.958902758930263,96.8094591975189,22.85803205085665,2.9198537705152274,96.52411647591947,5.668243227607235,40169.0,100.0,49944,335459,62869,1646,0.8566072039793918,0.8421677612419916,0.968094591975189,41454,32224,1e-06,1e-06,1.1e-05,4.55413070111165,4.55413070111165
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,12.0,39,14,25,12.949494844772977,96.84434968017057,22.844366409700694,2.915729551361813,96.59154530123743,5.660587599523928,39920.0,100.0,49962,335860,62468,1628,0.8575384847905618,0.8431744692815971,0.9684434968017057,41185,32224,1e-06,1e-06,1.3000000000000001e-05,5.4649566413339805,5.4649566413339805
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.0,15.0,39,14,25,12.934847022350807,96.88699360341151,22.822754264084434,2.9236963068842727,96.65409694975118,5.67570774678503,39539.0,100.0,49984,336445,61883,1606,0.8588876195217795,0.8446431081922435,0.9688699360341151,40777,32224,1e-06,1e-06,1.6e-05,6.831195551667476,6.831195551667476
