dataset,variant,S,G,point_kind,num_monitored,monitored_symbolic,monitored_persistence,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN
HAI,without_geco_ignored,0.3,1.0,grid,47,45,2,5.148711169861203,87.06829104727841,9.72249090466592,2.368351718842994,93.48015319615662,4.619662699927567,10185.0,100.0,7790,143510,249543,1157
HAI,without_geco_ignored,0.3,1.5,grid,47,45,2,4.962807264855068,88.14127640549904,9.3965409385817,2.33660335356791,94.07382817092127,4.559946862831151,9638.0,100.0,7886,151016,242037,1061
HAI,without_geco_ignored,0.3,2.0,grid,47,45,2,4.824707542997691,89.0130770090533,9.15328651717678,2.283691487606236,94.5031836405424,4.459615329988674,9214.0,100.0,7964,157103,235950,983
HAI,without_geco_ignored,0.3,2.5,grid,47,45,2,4.725712065372252,89.7172236503856,8.978496127065798,2.1860077416208155,94.92955023336572,4.273604271978098,8900.0,100.0,8027,161831,231222,920
HAI,without_geco_ignored,0.3,3.0,grid,47,45,2,4.643530439580651,90.29842405275512,8.832838611279662,2.0535933218987905,95.22070348642794,4.020478321658647,8662.0,100.0,8079,165905,227148,868
HAI,without_geco_ignored,0.3,3.5,grid,47,45,2,4.575886556851411,90.60020118475468,8.711773145685221,2.04470726059161,95.36817094882734,4.003577250827076,8497.0,100.0,8106,169040,224013,841
HAI,without_geco_ignored,0.3,4.0,grid,47,45,2,4.524289581267893,90.79020900860624,8.61907060889495,1.986826102797032,95.46206155320722,3.892635827517173,8385.0,100.0,8123,171419,221634,824
HAI,without_geco_ignored,0.3,4.5,grid,47,45,2,4.494097017353281,91.09198614060578,8.56560306049523,1.9943784155561948,95.61552298153607,3.907258023972832,8310.0,100.0,8150,173199,219854,797
HAI,without_geco_ignored,0.3,5.0,grid,47,45,2,4.46472511729131,91.25964010282776,8.512967548546852,1.9931463836616583,95.7068153615264,3.904969654483937,8202.0,100.0,8165,174713,218340,782
HAI,without_geco_ignored,0.3,6.0,grid,47,45,2,4.422819371840844,91.53906337319772,8.437949135342025,2.014425707990388,95.8300994106711,3.9459053149477072,8082.0,100.0,8190,176986,216067,757
HAI,without_geco_ignored,0.3,7.0,grid,47,45,2,4.398258476005848,91.79613278193808,8.3943172526574,1.9106864747575143,95.95399219947052,3.7467653821214064,8007.0,100.0,8213,178520,214533,734
HAI,without_geco_ignored,0.3,8.0,grid,47,45,2,4.385459972284405,91.96378674416006,8.371700234525632,1.846176279027232,96.0321862552706,3.6227076076283984,7975.0,100.0,8228,179392,213661,719
HAI,without_geco_ignored,0.3,9.0,grid,47,45,2,4.377286751312973,92.13144070638202,8.357497718746831,1.8435755516012824,96.11754351385254,3.617760903358256,7950.0,100.0,8243,180070,212983,704
HAI,without_geco_ignored,0.3,10.0,grid,47,45,2,4.373874351096514,92.2879177377892,8.351919565866067,1.7336633574763265,96.17981689749446,3.4059339704760108,7922.0,100.0,8257,180523,212530,690
HAI,without_geco_ignored,0.3,12.0,grid,47,45,2,4.372501239490701,92.65675645467756,8.350919961116343,1.647797242008587,96.3190396406732,3.240162751460111,7886.0,100.0,8290,181304,211749,657
HAI,without_geco_ignored,0.3,15.0,grid,47,45,2,4.366054723734756,93.11501061808428,8.341009211053265,1.5012931089391297,96.49813078572936,2.956588376067054,7851.0,100.0,8331,182482,210571,616
